date,state,district,new_enrolments,update_requests,address_updates,mobile_updates,biometric_updates,active_centres,operators,service_hours,failures
2024-01-01,Karnataka,Bengaluru Urban,152,281,94,121,66,13,26,6,9
2024-01-02,Karnataka,Bengaluru Urban,138,297,117,131,49,5,10,9,32
2024-01-03,Karnataka,Bengaluru Urban,147,282,100,129,53,10,40,8,0
2024-01-04,Karnataka,Bengaluru Urban,153,293,83,142,68,14,42,6,0
2024-01-05,Karnataka,Bengaluru Urban,148,293,107,133,53,13,52,9,0
2024-01-06,Karnataka,Bengaluru Urban,155,271,78,88,105,5,15,6,12
2024-01-07,Karnataka,Bengaluru Urban,145,298,90,143,65,7,14,8,26
2024-01-08,Karnataka,Bengaluru Urban,138,265,87,124,54,13,39,7,0
2024-01-09,Karnataka,Bengaluru Urban,150,292,86,125,81,15,30,6,6
2024-01-10,Karnataka,Bengaluru Urban,138,279,106,119,54,9,18,6,13
2024-01-11,Karnataka,Bengaluru Urban,144,258,83,100,75,9,18,9,16
2024-01-12,Karnataka,Bengaluru Urban,146,294,91,91,112,6,18,6,22
2024-01-13,Karnataka,Bengaluru Urban,153,303,103,110,90,7,14,6,25
2024-01-14,Karnataka,Bengaluru Urban,139,263,86,94,83,15,60,8,0
2024-01-15,Karnataka,Bengaluru Urban,158,271,106,123,42,8,24,6,10
2024-01-16,Karnataka,Bengaluru Urban,144,295,108,97,90,13,39,6,0
2024-01-17,Karnataka,Bengaluru Urban,143,284,97,130,57,11,44,9,0
2024-01-18,Karnataka,Bengaluru Urban,136,290,104,105,81,13,52,9,0
2024-01-19,Karnataka,Bengaluru Urban,148,300,119,115,66,6,18,9,21
2024-01-20,Karnataka,Bengaluru Urban,138,287,84,115,88,6,24,8,13
2024-01-21,Karnataka,Bengaluru Urban,141,303,117,91,95,6,18,7,9
2024-01-22,Karnataka,Bengaluru Urban,148,299,78,105,116,14,42,8,0
2024-01-23,Karnataka,Bengaluru Urban,154,293,103,114,76,8,16,9,16
2024-01-24,Karnataka,Bengaluru Urban,151,295,100,94,101,10,20,8,15
2024-01-25,Karnataka,Bengaluru Urban,163,277,102,106,69,7,28,7,6
2024-01-26,Karnataka,Bengaluru Urban,160,305,103,148,54,10,20,8,9
2024-01-27,Karnataka,Bengaluru Urban,163,306,107,126,73,8,24,6,12
2024-01-28,Karnataka,Bengaluru Urban,144,309,111,138,60,13,26,8,14
2024-01-29,Karnataka,Bengaluru Urban,153,322,88,158,76,5,10,6,15
2024-01-30,Karnataka,Bengaluru Urban,159,281,81,129,71,10,20,9,16
2024-01-31,Karnataka,Bengaluru Urban,164,289,95,125,69,8,16,9,23
2024-02-01,Karnataka,Bengaluru Urban,144,292,79,137,76,8,24,8,10
2024-02-02,Karnataka,Bengaluru Urban,156,324,101,131,92,11,33,7,5
2024-02-03,Karnataka,Bengaluru Urban,152,314,110,120,84,10,30,9,7
2024-02-04,Karnataka,Bengaluru Urban,160,290,77,89,124,13,26,7,8
2024-02-05,Karnataka,Bengaluru Urban,156,296,107,140,49,5,10,7,24
2024-02-06,Karnataka,Bengaluru Urban,145,304,94,134,76,15,60,8,0
2024-02-07,Karnataka,Bengaluru Urban,161,306,114,137,55,14,56,8,0
2024-02-08,Karnataka,Bengaluru Urban,169,305,86,135,84,14,56,6,0
2024-02-09,Karnataka,Bengaluru Urban,151,311,111,128,72,11,22,9,7
2024-02-10,Karnataka,Bengaluru Urban,170,305,85,131,89,5,15,6,24
2024-02-11,Karnataka,Bengaluru Urban,148,309,111,139,59,10,30,9,5
2024-02-12,Karnataka,Bengaluru Urban,151,325,119,140,66,5,15,9,17
2024-02-13,Karnataka,Bengaluru Urban,164,295,75,134,86,9,27,8,8
2024-02-14,Karnataka,Bengaluru Urban,146,332,93,144,95,13,26,8,7
2024-02-15,Karnataka,Bengaluru Urban,165,321,86,106,129,14,28,7,13
2024-02-16,Karnataka,Bengaluru Urban,160,300,106,109,85,15,30,9,3
2024-02-17,Karnataka,Bengaluru Urban,159,326,115,127,84,14,28,8,13
2024-02-18,Karnataka,Bengaluru Urban,157,318,84,100,134,13,52,6,0
2024-02-19,Karnataka,Bengaluru Urban,169,315,86,143,86,6,18,8,25
2024-02-20,Karnataka,Bengaluru Urban,169,294,82,101,111,9,18,8,15
2024-02-21,Karnataka,Bengaluru Urban,163,340,105,130,105,11,22,8,19
2024-02-22,Karnataka,Bengaluru Urban,167,305,105,120,80,5,10,8,32
2024-02-23,Karnataka,Bengaluru Urban,155,317,82,97,138,9,36,9,1
2024-02-24,Karnataka,Bengaluru Urban,165,335,131,148,56,5,20,9,25
2024-02-25,Karnataka,Bengaluru Urban,156,303,98,135,70,9,18,7,8
2024-02-26,Karnataka,Bengaluru Urban,168,340,121,110,109,7,21,7,19
2024-02-27,Karnataka,Bengaluru Urban,151,335,115,148,72,6,18,7,24
2024-02-28,Karnataka,Bengaluru Urban,154,294,100,110,84,9,18,7,13
2024-02-29,Karnataka,Bengaluru Urban,157,305,105,105,95,14,42,8,0
2024-03-01,Karnataka,Bengaluru Urban,164,320,100,107,113,7,28,6,12
2024-03-02,Karnataka,Bengaluru Urban,151,330,84,103,143,14,42,6,0
2024-03-03,Karnataka,Bengaluru Urban,167,338,129,140,69,12,36,9,5
2024-03-04,Karnataka,Bengaluru Urban,165,319,82,138,99,11,44,8,0
2024-03-05,Karnataka,Bengaluru Urban,175,309,122,102,85,9,27,9,8
2024-03-06,Karnataka,Bengaluru Urban,154,300,97,121,82,14,56,9,0
2024-03-07,Karnataka,Bengaluru Urban,158,309,121,144,44,13,52,8,0
2024-03-08,Karnataka,Bengaluru Urban,172,304,101,145,58,12,48,6,0
2024-03-09,Karnataka,Bengaluru Urban,169,330,102,108,120,10,20,8,22
2024-03-10,Karnataka,Bengaluru Urban,169,328,83,146,99,5,10,7,22
2024-03-11,Karnataka,Bengaluru Urban,154,332,123,143,66,14,28,6,7
2024-03-12,Karnataka,Bengaluru Urban,164,339,114,131,94,15,60,7,0
2024-03-13,Karnataka,Bengaluru Urban,166,316,85,103,128,12,24,8,18
2024-03-14,Karnataka,Bengaluru Urban,165,324,114,139,71,12,24,9,8
2024-03-15,Karnataka,Bengaluru Urban,163,328,119,110,99,12,24,6,13
2024-03-16,Karnataka,Bengaluru Urban,177,327,85,110,132,6,24,8,19
2024-03-17,Karnataka,Bengaluru Urban,161,302,77,113,112,12,48,6,0
2024-03-18,Karnataka,Bengaluru Urban,164,328,120,141,67,11,33,7,3
2024-03-19,Karnataka,Bengaluru Urban,161,313,124,105,84,15,45,8,0
2024-03-20,Karnataka,Bengaluru Urban,173,346,86,164,96,7,21,7,23
2024-03-21,Karnataka,Bengaluru Urban,174,330,104,101,125,7,14,9,18
2024-03-22,Karnataka,Bengaluru Urban,156,344,127,106,111,12,48,9,0
2024-03-23,Karnataka,Bengaluru Urban,175,305,78,98,129,15,45,7,0
2024-03-24,Karnataka,Bengaluru Urban,157,336,114,155,67,15,60,9,0
2024-03-25,Karnataka,Bengaluru Urban,159,329,86,159,84,14,42,8,0
2024-03-26,Karnataka,Bengaluru Urban,173,348,99,167,82,8,24,9,18
2024-03-27,Karnataka,Bengaluru Urban,168,347,129,162,56,6,12,8,31
2024-03-28,Karnataka,Bengaluru Urban,178,348,130,137,81,6,12,8,27
2024-03-29,Karnataka,Bengaluru Urban,173,303,98,130,75,15,45,7,0
2024-03-30,Karnataka,Bengaluru Urban,177,327,123,127,77,10,40,9,0
2024-03-31,Karnataka,Bengaluru Urban,167,336,123,145,68,15,60,6,0
2024-04-01,Karnataka,Bengaluru Urban,176,341,112,134,95,13,26,7,19
2024-04-02,Karnataka,Bengaluru Urban,156,308,112,138,58,12,48,6,0
2024-04-03,Karnataka,Bengaluru Urban,170,333,92,111,130,15,30,9,6
2024-04-04,Karnataka,Bengaluru Urban,164,335,88,130,117,6,12,9,32
2024-04-05,Karnataka,Bengaluru Urban,156,340,92,116,132,11,22,8,19
2024-04-06,Karnataka,Bengaluru Urban,177,342,99,144,99,15,45,6,0
2024-04-07,Karnataka,Bengaluru Urban,159,303,82,143,78,5,15,6,13
2024-04-08,Karnataka,Bengaluru Urban,177,338,103,155,80,8,24,6,7
2024-04-09,Karnataka,Bengaluru Urban,156,340,99,107,134,15,30,8,8
2024-04-10,Karnataka,Bengaluru Urban,165,324,111,125,88,12,48,6,0
2024-04-11,Karnataka,Bengaluru Urban,175,304,118,101,85,13,52,9,0
2024-04-12,Karnataka,Bengaluru Urban,159,322,112,131,79,7,21,9,14
2024-04-13,Karnataka,Bengaluru Urban,169,324,83,98,143,15,30,8,8
2024-04-14,Karnataka,Bengaluru Urban,165,309,103,124,82,8,24,7,11
2024-04-15,Karnataka,Bengaluru Urban,159,302,116,120,66,5,15,6,11
2024-04-16,Karnataka,Bengaluru Urban,169,327,106,107,114,5,15,9,20
2024-04-17,Karnataka,Bengaluru Urban,167,320,83,130,107,9,36,7,4
2024-04-18,Karnataka,Bengaluru Urban,176,309,117,149,43,7,21,9,8
2024-04-19,Karnataka,Bengaluru Urban,166,325,90,106,129,8,32,9,6
2024-04-20,Karnataka,Bengaluru Urban,175,301,76,94,131,10,40,6,0
2024-04-21,Karnataka,Bengaluru Urban,163,320,93,131,96,9,27,7,10
2024-04-22,Karnataka,Bengaluru Urban,176,339,100,149,90,9,36,6,3
2024-04-23,Karnataka,Bengaluru Urban,172,339,88,128,123,15,30,9,13
2024-04-24,Karnataka,Bengaluru Urban,172,348,95,148,105,8,16,7,26
2024-04-25,Karnataka,Bengaluru Urban,161,346,117,106,123,13,26,7,18
2024-04-26,Karnataka,Bengaluru Urban,175,322,87,119,116,9,18,7,9
2024-04-27,Karnataka,Bengaluru Urban,164,343,133,123,87,7,14,8,32
2024-04-28,Karnataka,Bengaluru Urban,168,334,99,108,127,10,40,9,0
2024-04-29,Karnataka,Bengaluru Urban,156,337,103,157,77,7,28,6,10
2024-04-30,Karnataka,Bengaluru Urban,157,331,116,103,112,11,33,6,7
2024-05-01,Karnataka,Bengaluru Urban,175,334,87,112,135,5,20,8,22
2024-05-02,Karnataka,Bengaluru Urban,160,296,108,105,83,9,27,6,5
2024-05-03,Karnataka,Bengaluru Urban,152,305,83,129,93,7,28,9,8
2024-05-04,Karnataka,Bengaluru Urban,153,303,98,100,105,5,20,6,18
2024-05-05,Karnataka,Bengaluru Urban,152,335,113,125,97,11,33,9,10
2024-05-06,Karnataka,Bengaluru Urban,173,318,105,151,62,11,22,9,9
2024-05-07,Karnataka,Bengaluru Urban,163,338,120,125,93,12,24,8,11
2024-05-08,Karnataka,Bengaluru Urban,168,292,78,96,118,7,21,7,10
2024-05-09,Karnataka,Bengaluru Urban,159,300,92,148,60,6,18,9,19
2024-05-10,Karnataka,Bengaluru Urban,150,297,113,90,94,5,20,6,12
2024-05-11,Karnataka,Bengaluru Urban,172,298,105,148,45,6,12,7,14
2024-05-12,Karnataka,Bengaluru Urban,150,328,98,131,99,9,27,9,10
2024-05-13,Karnataka,Bengaluru Urban,172,331,98,137,96,14,56,9,0
2024-05-14,Karnataka,Bengaluru Urban,157,291,84,112,95,7,28,8,4
2024-05-15,Karnataka,Bengaluru Urban,161,337,97,145,95,5,10,9,32
2024-05-16,Karnataka,Bengaluru Urban,165,290,105,134,51,8,16,7,15
2024-05-17,Karnataka,Bengaluru Urban,152,322,98,148,76,12,48,8,0
2024-05-18,Karnataka,Bengaluru Urban,151,295,103,107,85,8,24,7,6
2024-05-19,Karnataka,Bengaluru Urban,167,292,114,119,59,9,36,8,0
2024-05-20,Karnataka,Bengaluru Urban,171,301,79,124,98,13,39,9,0
2024-05-21,Karnataka,Bengaluru Urban,170,326,125,119,82,13,52,8,0
2024-05-22,Karnataka,Bengaluru Urban,162,315,110,97,108,13,26,8,12
2024-05-23,Karnataka,Bengaluru Urban,147,288,93,133,62,8,16,7,14
2024-05-24,Karnataka,Bengaluru Urban,155,320,106,156,58,10,20,6,19
2024-05-25,Karnataka,Bengaluru Urban,167,305,79,98,128,5,20,9,14
2024-05-26,Karnataka,Bengaluru Urban,146,323,86,126,111,14,28,8,8
2024-05-27,Karnataka,Bengaluru Urban,157,329,131,140,58,15,60,7,0
2024-05-28,Karnataka,Bengaluru Urban,167,305,91,129,85,7,21,7,15
2024-05-29,Karnataka,Bengaluru Urban,158,286,79,120,87,9,18,8,9
2024-05-30,Karnataka,Bengaluru Urban,142,295,87,106,102,15,45,8,0
2024-05-31,Karnataka,Bengaluru Urban,149,314,110,126,78,14,42,8,0
2024-06-01,Karnataka,Bengaluru Urban,146,312,109,108,95,15,45,6,0
2024-06-02,Karnataka,Bengaluru Urban,156,288,91,117,80,15,60,8,0
2024-06-03,Karnataka,Bengaluru Urban,141,301,100,130,71,13,52,8,0
2024-06-04,Karnataka,Bengaluru Urban,158,309,105,133,71,12,36,6,1
2024-06-05,Karnataka,Bengaluru Urban,152,273,106,98,69,6,24,8,10
